                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53477,                 1.8981,                0.95383,                0.32251,                0.87504,                0.36041,                0.33513,                0.26624,                  1.209,                 0.7846,              0.0033313,              0.0033313,              0.0033313
                      2,                0.51653,                 1.3832,                0.94606,                0.32194,                0.87407,                0.36255,                0.33979,                0.27416,                 1.0607,                0.79525,              0.0065326,              0.0065326,              0.0065326
                      3,                0.54924,                 1.2373,                0.95903,                0.32266,                0.88697,                0.37757,                0.35395,                0.27966,                 1.0107,                0.80086,               0.009602,               0.009602,               0.009602
                      4,                0.54247,                 1.1764,                0.96798,                0.32219,                0.91958,                0.37815,                0.36064,                0.25057,                 1.0157,                0.79436,               0.009406,               0.009406,               0.009406
                      5,                0.49244,                 1.1289,                0.95213,                0.32559,                0.80323,                0.38918,                 0.3771,                 0.2165,                0.96563,                0.78275,               0.009208,               0.009208,               0.009208
                      6,                0.46169,                 1.1075,                0.94455,                0.32629,                0.92481,                0.39436,                0.38192,                0.20322,                0.96056,                0.78699,                0.00901,                0.00901,                0.00901
                      7,                0.43962,                 1.0902,                0.94039,                  0.329,                0.90085,                0.41658,                0.40582,                0.18527,                0.98055,                0.78357,               0.008812,               0.008812,               0.008812
                      8,                0.42431,                 1.0854,                 0.9349,                0.32763,                0.90294,                0.41577,                0.40544,                0.17742,                0.92744,                0.77858,               0.008614,               0.008614,               0.008614
                      9,                0.41268,                 1.0678,                0.93333,                0.33345,                0.91736,                0.43415,                  0.425,                0.16933,                0.90955,                0.77939,               0.008416,               0.008416,               0.008416
                     10,                0.39877,                 1.0554,                0.92757,                0.32357,                 0.9094,                0.42571,                0.41503,                0.16679,                 0.9205,                0.77551,               0.008218,               0.008218,               0.008218
                     11,                0.39104,                 1.0537,                0.92913,                0.34262,                0.75197,                 0.4502,                0.43855,                0.16018,                0.92881,                0.77783,                0.00802,                0.00802,                0.00802
                     12,                0.38296,                 1.0373,                0.92659,                0.33388,                0.89373,                0.45871,                0.45172,                0.13974,                0.87179,                0.77332,               0.007822,               0.007822,               0.007822
                     13,                0.37294,                 1.0268,                0.92556,                0.34881,                0.87462,                0.46837,                0.46125,                0.14156,                0.87356,                0.77431,               0.007624,               0.007624,               0.007624
                     14,                 0.3668,                 1.0175,                0.92098,                0.33387,                0.94319,                0.47452,                0.46629,                0.13334,                0.85466,                0.77021,               0.007426,               0.007426,               0.007426
                     15,                0.36046,                 1.0055,                0.91992,                 0.3412,                0.88936,                0.48119,                0.47372,                0.13022,                0.84822,                0.77237,               0.007228,               0.007228,               0.007228
                     16,                0.35085,                 0.9987,                0.91461,                0.33956,                 0.9212,                0.49251,                0.48583,                0.11632,                0.82567,                0.76952,                0.00703,                0.00703,                0.00703
                     17,                0.34745,                0.98416,                0.91216,                0.35807,                0.87491,                0.51366,                0.50559,                0.11938,                 0.8044,                0.76991,               0.006832,               0.006832,               0.006832
                     18,                0.34752,                0.98155,                0.91614,                0.34535,                 0.9123,                  0.525,                0.51761,                0.11446,                0.79097,                0.76874,               0.006634,               0.006634,               0.006634
                     19,                 0.3398,                0.97248,                0.91485,                 0.3641,                0.85127,                0.53903,                0.53041,                0.11538,                0.78261,                 0.7693,               0.006436,               0.006436,               0.006436
                     20,                0.33274,                0.95226,                0.90924,                0.37526,                0.85624,                0.55065,                0.54318,                  0.108,                0.75155,                0.76808,               0.006238,               0.006238,               0.006238
                     21,                0.32946,                0.94523,                0.90896,                  0.378,                0.79516,                0.56131,                0.55376,                 0.1076,                0.74687,                0.76724,                0.00604,                0.00604,                0.00604
                     22,                0.32532,                0.93268,                0.90703,                0.38952,                0.78782,                0.56112,                0.55393,                0.10588,                0.75797,                0.76558,               0.005842,               0.005842,               0.005842
                     23,                0.32207,                0.91889,                0.90718,                0.37275,                0.81856,                0.56678,                0.55966,                0.10112,                0.74454,                0.76512,               0.005644,               0.005644,               0.005644
                     24,                0.31929,                0.91233,                0.90807,                0.41285,                0.78068,                0.58881,                0.58098,                0.09797,                0.69759,                0.76627,               0.005446,               0.005446,               0.005446
                     25,                0.31763,                0.89452,                0.90312,                0.40691,                0.84077,                0.60374,                0.59581,                0.09789,                0.67801,                 0.7659,               0.005248,               0.005248,               0.005248
                     26,                0.31443,                0.88808,                0.90505,                0.44523,                0.77126,                0.61636,                 0.6079,                 0.0935,                0.66075,                0.76573,                0.00505,                0.00505,                0.00505
                     27,                0.30938,                0.87305,                0.90335,                0.45347,                 0.7998,                0.62391,                0.61652,                0.08989,                0.63206,                0.76338,               0.004852,               0.004852,               0.004852
                     28,                0.30044,                0.86062,                0.89697,                0.47076,                0.75634,                0.64705,                0.64004,                0.08922,                 0.6155,                0.76357,               0.004654,               0.004654,               0.004654
                     29,                0.30199,                0.84911,                0.90151,                0.47899,                0.74252,                0.64137,                0.63387,                 0.0918,                0.61075,                 0.7642,               0.004456,               0.004456,               0.004456
                     30,                 0.2992,                0.84276,                 0.9011,                0.52444,                0.71551,                 0.6774,                0.67015,                0.08693,                   0.59,                0.76451,               0.004258,               0.004258,               0.004258
                     31,                0.29787,                0.82247,                0.89863,                0.55338,                0.73304,                0.69661,                0.68864,                0.08765,                0.56445,                0.76395,                0.00406,                0.00406,                0.00406
                     32,                0.29601,                 0.8129,                0.89871,                0.56272,                0.72336,                0.69402,                0.68573,                0.08453,                0.55736,                0.76244,               0.003862,               0.003862,               0.003862
                     33,                 0.2925,                0.81044,                0.89797,                0.59475,                 0.7155,                0.70463,                0.69658,                0.08386,                0.55162,                0.76238,               0.003664,               0.003664,               0.003664
                     34,                0.29009,                 0.7885,                0.90111,                0.66144,                  0.691,                0.73489,                0.72692,                0.08236,                0.53191,                0.76369,               0.003466,               0.003466,               0.003466
                     35,                0.28798,                0.78017,                0.89645,                0.72314,                0.65078,                0.74233,                0.73375,                0.08173,                0.52478,                0.76349,               0.003268,               0.003268,               0.003268
                     36,                0.28307,                0.75843,                0.89393,                0.68591,                0.71779,                0.75432,                0.74505,                0.08232,                 0.5076,                0.76275,                0.00307,                0.00307,                0.00307
                     37,                0.27866,                0.75204,                0.89399,                0.70027,                0.72666,                0.77032,                0.76147,                0.08007,                0.48615,                0.76239,               0.002872,               0.002872,               0.002872
                     38,                0.27597,                 0.7321,                0.89296,                 0.7491,                0.71525,                0.78868,                0.77968,                0.07724,                0.46596,                0.76133,               0.002674,               0.002674,               0.002674
                     39,                0.27606,                0.72848,                0.89384,                 0.7454,                 0.7184,                0.79223,                0.78473,                 0.0773,                0.46678,                0.76194,               0.002476,               0.002476,               0.002476
                     40,                0.26991,                0.71046,                  0.892,                0.77562,                0.71508,                0.80611,                0.79671,                0.07595,                0.44044,                0.76175,               0.002278,               0.002278,               0.002278
                     41,                0.11768,                0.47154,                0.76916,                0.80217,                0.72423,                0.82101,                0.81245,                0.07401,                 0.4179,                0.76266,                0.00208,                0.00208,                0.00208
                     42,                0.11347,                0.45262,                0.76616,                0.82554,                0.74099,                0.84047,                0.83144,                0.07248,                0.39105,                0.76139,               0.001882,               0.001882,               0.001882
                     43,                0.10903,                0.42225,                 0.7664,                0.83573,                0.75349,                0.85354,                0.84409,                    inf,                0.36515,                0.76159,               0.001684,               0.001684,               0.001684
                     44,                  0.107,                0.40313,                0.76712,                0.87691,                 0.7359,                0.86042,                0.85096,                 0.0689,                0.35111,                0.76188,               0.001486,               0.001486,               0.001486
                     45,                0.10455,                0.37787,                0.76684,                  0.881,                0.75425,                0.87467,                0.86524,                    inf,                0.33232,                0.76169,               0.001288,               0.001288,               0.001288
                     46,                0.10247,                 0.3536,                0.76495,                0.85604,                0.79102,                0.88257,                0.87277,                0.06861,                0.32072,                0.76089,                0.00109,                0.00109,                0.00109
                     47,                0.10015,                0.33611,                 0.7661,                0.84357,                0.81174,                0.88789,                0.87819,                0.06724,                0.30676,                0.76062,               0.000892,               0.000892,               0.000892
                     48,                0.09606,                0.31548,                 0.7648,                0.86717,                0.80269,                 0.8927,                0.88329,                0.06581,                0.29871,                0.76043,               0.000694,               0.000694,               0.000694
                     49,                0.09523,                0.29883,                0.76494,                0.86567,                0.80544,                0.89583,                0.88645,                0.06456,                0.29294,                0.76043,               0.000496,               0.000496,               0.000496
                     50,                0.09204,                0.28447,                0.76558,                0.87928,                0.80596,                0.89968,                0.88998,                0.06436,                0.28508,                0.76048,               0.000298,               0.000298,               0.000298
