                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.19487,                0.87137,                0.80754,                0.46685,                0.74272,                 0.6307,                 0.6275,                0.07229,                0.81574,                0.74757,               0.002872,               0.002872,               0.002872
                     38,                0.19813,                0.87482,                0.80915,                0.47205,                0.74178,                0.63825,                0.63582,                0.07076,                0.81536,                0.74761,               0.002674,               0.002674,               0.002674
                     39,                0.19225,                0.85669,                0.80732,                0.46951,                0.77021,                0.64509,                0.64251,                0.07007,                 0.7928,                0.74712,               0.002476,               0.002476,               0.002476
                     40,                0.19125,                0.85286,                0.80573,                0.48436,                0.74497,                0.65757,                 0.6542,                0.07191,                0.79079,                0.74787,               0.002278,               0.002278,               0.002278
                     41,                0.10726,                0.78313,                  0.755,                0.54412,                0.70105,                0.68519,                0.68154,                0.06763,                0.74374,                0.74783,                0.00208,                0.00208,                0.00208
                     42,                0.10351,                 0.7593,                 0.7552,                0.61046,                0.67401,                0.70592,                 0.7026,                0.06625,                0.72101,                0.74732,               0.001882,               0.001882,               0.001882
                     43,                0.10148,                0.73956,                0.75505,                 0.6325,                0.68126,                 0.7235,                0.72039,                0.06504,                0.70038,                 0.7471,               0.001684,               0.001684,               0.001684
                     44,                0.09937,                0.71579,                0.75579,                 0.6624,                 0.6765,                0.74111,                 0.7383,                0.06431,                0.68009,                0.74696,               0.001486,               0.001486,               0.001486
                     45,                0.09692,                0.70177,                0.75462,                0.69072,                0.66546,                0.75611,                0.75407,                0.06334,                0.66063,                0.74671,               0.001288,               0.001288,               0.001288
                     46,                0.09583,                 0.6797,                0.75524,                0.66136,                0.70305,                0.77043,                0.76816,                0.06252,                0.64263,                0.74651,                0.00109,                0.00109,                0.00109
                     47,                0.09407,                0.66004,                0.75589,                0.67503,                0.71249,                0.77965,                0.77805,                0.06282,                0.63082,                0.74656,               0.000892,               0.000892,               0.000892
                     48,                 0.0934,                0.63875,                 0.7552,                0.67618,                0.72147,                 0.7874,                0.78627,                 0.0629,                0.62178,                0.74653,               0.000694,               0.000694,               0.000694
                     49,                0.09198,                0.61367,                0.75493,                 0.7003,                0.70962,                0.79627,                0.79506,                0.06248,                0.61084,                0.74664,               0.000496,               0.000496,               0.000496
                     50,                0.09057,                0.59878,                 0.7558,                 0.7053,                0.71873,                0.80214,                0.80082,                0.06184,                0.60248,                 0.7466,               0.000298,               0.000298,               0.000298
