                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.809,                 1.5777,                 1.4715,                0.78494,                0.54634,                0.61691,                0.39181,                 1.7697,                 1.5164,                 1.4734,               0.006634,               0.006634,               0.006634
                     36,                  1.796,                 1.5641,                 1.4656,                0.78677,                0.54963,                0.61953,                0.39443,                  1.764,                 1.5078,                 1.4694,               0.006535,               0.006535,               0.006535
                     37,                 1.7908,                 1.5509,                 1.4602,                0.78515,                0.55255,                  0.622,                0.39663,                 1.7583,                 1.4992,                 1.4654,               0.006436,               0.006436,               0.006436
                     38,                 1.7805,                 1.5355,                 1.4539,                0.78777,                0.55291,                0.62416,                0.39892,                 1.7523,                 1.4905,                  1.461,               0.006337,               0.006337,               0.006337
                     39,                  1.768,                 1.5197,                 1.4455,                0.78902,                0.55432,                0.62576,                0.40072,                 1.7473,                 1.4835,                 1.4572,               0.006238,               0.006238,               0.006238
                     40,                 1.7584,                 1.5055,                 1.4392,                0.79154,                0.55665,                0.62801,                0.40249,                 1.7427,                 1.4772,                 1.4539,               0.006139,               0.006139,               0.006139
                     41,                 1.7536,                 1.4965,                 1.4369,                0.79785,                0.55586,                0.62953,                0.40415,                 1.7386,                  1.471,                 1.4508,                0.00604,                0.00604,                0.00604
                     42,                 1.7449,                 1.4832,                 1.4286,                0.79844,                0.55748,                0.63104,                0.40594,                 1.7339,                 1.4653,                 1.4479,               0.005941,               0.005941,               0.005941
                     43,                 1.7383,                 1.4739,                 1.4272,                0.79972,                0.55915,                0.63263,                0.40742,                 1.7295,                 1.4597,                 1.4448,               0.005842,               0.005842,               0.005842
                     44,                 1.7315,                 1.4637,                 1.4214,                0.79515,                0.56226,                0.63406,                0.40841,                 1.7252,                 1.4543,                 1.4417,               0.005743,               0.005743,               0.005743
                     45,                 1.7309,                 1.4557,                 1.4182,                0.79476,                0.56379,                0.63523,                0.41034,                 1.7208,                  1.448,                 1.4384,               0.005644,               0.005644,               0.005644
                     46,                 1.7219,                 1.4479,                 1.4148,                0.79682,                0.56558,                0.63674,                0.41225,                 1.7161,                 1.4422,                 1.4354,               0.005545,               0.005545,               0.005545
                     47,                 1.7108,                 1.4342,                 1.4096,                0.79747,                0.56651,                0.63823,                0.41385,                 1.7122,                 1.4361,                 1.4327,               0.005446,               0.005446,               0.005446
                     48,                 1.7065,                 1.4235,                 1.4065,                0.79904,                0.56804,                0.63977,                0.41535,                 1.7081,                 1.4299,                 1.4298,               0.005347,               0.005347,               0.005347
                     49,                 1.6968,                 1.4102,                 1.3991,                 0.7994,                0.56977,                0.64117,                0.41716,                 1.7038,                 1.4239,                 1.4269,               0.005248,               0.005248,               0.005248
                     50,                   1.69,                 1.3948,                 1.3921,                0.80391,                0.56946,                0.64252,                0.41886,                    1.7,                  1.418,                  1.424,               0.005149,               0.005149,               0.005149
                     51,                 1.6862,                 1.4029,                 1.3922,                0.80641,                0.57027,                0.64386,                0.42035,                 1.6959,                 1.4123,                 1.4212,                0.00505,                0.00505,                0.00505
                     52,                 1.6774,                  1.382,                 1.3862,                0.80808,                0.57089,                0.64496,                0.42151,                  1.692,                 1.4066,                 1.4184,               0.004951,               0.004951,               0.004951
                     53,                 1.6721,                 1.3787,                 1.3819,                0.81273,                0.57116,                0.64641,                0.42273,                 1.6881,                 1.4008,                 1.4155,               0.004852,               0.004852,               0.004852
                     54,                 1.6708,                 1.3728,                 1.3793,                0.81105,                0.57408,                0.64805,                0.42456,                 1.6838,                  1.395,                 1.4125,               0.004753,               0.004753,               0.004753
                     55,                 1.6608,                 1.3596,                 1.3746,                0.81254,                0.57509,                0.64953,                0.42623,                 1.6796,                 1.3891,                 1.4095,               0.004654,               0.004654,               0.004654
                     56,                 1.6508,                 1.3493,                  1.368,                0.81317,                0.57602,                0.65097,                0.42795,                 1.6753,                 1.3827,                 1.4064,               0.004555,               0.004555,               0.004555
                     57,                 1.6436,                 1.3384,                 1.3637,                0.81233,                0.57802,                0.65255,                0.42943,                 1.6711,                 1.3769,                 1.4035,               0.004456,               0.004456,               0.004456
                     58,                 1.6447,                 1.3393,                  1.367,                0.81558,                0.57848,                0.65427,                0.43126,                 1.6667,                 1.3707,                 1.4007,               0.004357,               0.004357,               0.004357
                     59,                 1.6367,                 1.3291,                 1.3621,                0.81601,                0.57977,                0.65549,                0.43295,                 1.6626,                 1.3647,                 1.3978,               0.004258,               0.004258,               0.004258
                     60,                 1.6242,                 1.3153,                 1.3542,                0.82049,                0.57942,                0.65715,                0.43413,                 1.6586,                 1.3588,                  1.395,               0.004159,               0.004159,               0.004159
                     61,                 1.6245,                 1.3171,                 1.3542,                0.82194,                0.58049,                0.65862,                0.43603,                 1.6546,                  1.353,                 1.3922,                0.00406,                0.00406,                0.00406
                     62,                 1.6103,                 1.3016,                 1.3441,                0.82036,                0.58252,                0.66045,                0.43773,                 1.6505,                 1.3471,                 1.3892,               0.003961,               0.003961,               0.003961
                     63,                 1.6099,                 1.2975,                 1.3462,                0.81944,                0.58497,                0.66204,                0.43947,                 1.6458,                 1.3414,                 1.3862,               0.003862,               0.003862,               0.003862
                     64,                  1.597,                 1.2821,                 1.3402,                 0.8215,                 0.5854,                0.66351,                0.44142,                 1.6414,                 1.3351,                  1.383,               0.003763,               0.003763,               0.003763
                     65,                 1.5907,                 1.2764,                 1.3339,                0.81871,                0.58887,                  0.665,                0.44303,                 1.6368,                 1.3289,                   1.38,               0.003664,               0.003664,               0.003664
                     66,                 1.5855,                 1.2658,                 1.3289,                0.82024,                0.58918,                0.66666,                0.44454,                 1.6325,                  1.323,                  1.377,               0.003565,               0.003565,               0.003565
                     67,                 1.5757,                 1.2573,                 1.3253,                0.81994,                0.59091,                0.66862,                0.44672,                  1.628,                 1.3173,                 1.3741,               0.003466,               0.003466,               0.003466
