                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55594,                 1.1024,                0.96991,                0.46664,                0.84356,                0.49075,                0.45882,                0.31846,                0.60715,                0.80304,             0.00055532,             0.00055532,             0.00055532
                      2,                0.51475,                0.75703,                0.96277,                0.46145,                0.86203,                 0.4956,                0.47534,                0.26428,                0.56754,                0.79468,               0.001089,               0.001089,               0.001089
                      3,                0.47864,                0.71785,                 0.9509,                0.48146,                0.90049,                0.48576,                0.46176,                 0.2395,                 0.5487,                0.79011,              0.0016007,              0.0016007,              0.0016007
                      4,                 0.4506,                0.70192,                0.93943,                0.47665,                0.91704,                0.50017,                0.48635,                0.22184,                0.50765,                 0.7826,               0.001568,               0.001568,               0.001568
                      5,                0.41965,                0.67648,                0.93514,                0.48174,                0.91216,                0.49772,                0.48599,                0.20063,                0.51492,                0.78377,               0.001535,               0.001535,               0.001535
                      6,                0.39748,                0.64977,                0.92636,                0.48357,                0.92177,                 0.4966,                0.48686,                0.16498,                0.48236,                 0.7758,               0.001502,               0.001502,               0.001502
                      7,                0.38413,                0.64176,                0.92248,                0.49051,                0.87994,                0.50091,                 0.4913,                0.16605,                0.48731,                0.77472,               0.001469,               0.001469,               0.001469
                      8,                0.37621,                0.63617,                0.92556,                0.49092,                0.88582,                0.50748,                0.49354,                 0.1693,                0.48222,                0.77671,               0.001436,               0.001436,               0.001436
                      9,                0.36241,                0.63213,                0.91825,                0.49253,                0.90477,                 0.4993,                0.48896,                0.14765,                0.47208,                0.77282,              0.0014029,              0.0014029,              0.0014029
                     10,                0.35875,                0.62707,                0.91871,                0.36553,                0.79506,                0.47575,                0.46087,                0.19196,                0.58735,                0.78657,              0.0013699,              0.0013699,              0.0013699
