                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63099,                 1.7974,                0.91477,                0.38462,                0.85988,                0.47784,                0.43837,                0.33895,                 1.0745,                0.79013,             0.00047585,             0.00047585,             0.00047585
                      2,                0.51985,                 1.1982,                0.90089,                0.37814,                0.82517,                0.49679,                0.46671,                0.31741,                 1.0859,                0.78686,             0.00093333,             0.00093333,             0.00093333
                      3,                0.49333,                 1.1191,                0.90412,                 0.4051,                0.77484,                0.51832,                0.48774,                0.30754,                0.99832,                0.78269,              0.0013719,              0.0013719,              0.0013719
                      4,                0.45782,                 1.0594,                0.89018,                0.40894,                0.80864,                0.53033,                0.51356,                0.24162,                0.95962,                0.77088,              0.0013441,              0.0013441,              0.0013441
                      5,                0.41916,                 1.0307,                0.88258,                0.45569,                0.71454,                0.52938,                0.51566,                0.21582,                0.91499,                0.76927,              0.0013158,              0.0013158,              0.0013158
                      6,                0.39419,                0.99587,                0.87538,                0.40207,                0.84057,                0.53484,                0.52136,                0.21133,                0.98944,                0.76844,              0.0012875,              0.0012875,              0.0012875
                      7,                0.38812,                0.98757,                0.87557,                0.47301,                0.74748,                0.57502,                0.55887,                0.18631,                0.84448,                0.76512,              0.0012592,              0.0012592,              0.0012592
                      8,                0.37724,                0.96883,                0.87277,                0.43133,                0.78499,                0.58993,                0.57741,                0.18288,                0.92517,                0.76437,              0.0012309,              0.0012309,              0.0012309
                      9,                0.36409,                0.96248,                0.86829,                0.44645,                0.79105,                 0.5958,                0.58279,                0.17602,                0.83374,                0.76356,              0.0012026,              0.0012026,              0.0012026
                     10,                0.35576,                0.94423,                0.86475,                0.47181,                0.76762,                0.58987,                0.57658,                0.16604,                0.81112,                0.75941,              0.0011744,              0.0011744,              0.0011744
                     11,                0.34349,                0.93409,                0.85942,                0.49785,                0.72281,                0.59432,                0.58337,                0.15992,                0.84261,                0.76067,              0.0011461,              0.0011461,              0.0011461
                     12,                0.34245,                0.93308,                0.86505,                0.44931,                0.77652,                0.59107,                0.57997,                0.15876,                0.87406,                0.75841,              0.0011178,              0.0011178,              0.0011178
                     13,                0.34146,                0.91562,                 0.8612,                0.48803,                0.74716,                0.60586,                 0.5948,                0.14785,                0.80064,                0.75706,              0.0010895,              0.0010895,              0.0010895
                     14,                0.32908,                 0.9079,                0.85757,                0.52479,                0.75419,                0.62167,                0.61267,                 0.1469,                0.75965,                0.75781,              0.0010612,              0.0010612,              0.0010612
                     15,                0.32462,                0.89513,                  0.857,                0.54029,                0.77369,                0.64186,                0.63285,                0.14082,                0.75738,                0.75721,              0.0010329,              0.0010329,              0.0010329
                     16,                0.31941,                0.87475,                0.85995,                0.51223,                0.75341,                0.63274,                0.62212,                0.13789,                0.78791,                0.75708,              0.0010046,              0.0010046,              0.0010046
                     17,                0.31281,                0.87498,                0.85439,                0.49814,                0.81038,                0.64574,                0.63317,                0.13284,                0.74434,                 0.7565,             0.00097629,             0.00097629,             0.00097629
                     18,                0.31375,                0.86732,                0.85576,                0.50628,                0.78317,                0.66977,                0.66004,                0.13378,                0.74506,                0.75416,               0.000948,               0.000948,               0.000948
                     19,                0.30625,                0.85881,                0.85522,                0.54048,                 0.7497,                0.65254,                0.64146,                0.12682,                0.73038,                0.75416,              0.0009197,              0.0009197,              0.0009197
                     20,                0.30922,                0.85497,                0.85572,                0.52441,                0.77051,                 0.6632,                0.65175,                0.13057,                0.72016,                0.75385,             0.00089141,             0.00089141,             0.00089141
                     21,                0.30157,                0.83882,                 0.8523,                0.60713,                0.74176,                0.70618,                0.69527,                0.12359,                  0.676,                0.75409,             0.00086312,             0.00086312,             0.00086312
                     22,                0.29873,                0.82811,                0.85358,                0.59765,                 0.7473,                0.68864,                0.67851,                0.12369,                0.69098,                0.75298,             0.00083482,             0.00083482,             0.00083482
                     23,                 0.2926,                0.81138,                0.84969,                0.59413,                0.74034,                 0.7244,                 0.7136,                0.12242,                0.66154,                0.75232,             0.00080653,             0.00080653,             0.00080653
                     24,                0.28866,                0.80516,                0.85126,                0.64472,                0.72468,                0.74099,                0.73182,                0.11977,                0.64852,                0.75244,             0.00077823,             0.00077823,             0.00077823
                     25,                0.28462,                0.78139,                0.84917,                0.61036,                 0.7404,                0.75623,                0.74682,                0.11403,                0.62776,                0.75173,             0.00074994,             0.00074994,             0.00074994
                     26,                 0.2914,                0.77708,                0.85434,                0.63966,                0.76429,                0.76252,                0.75342,                0.11115,                0.59998,                0.75176,             0.00072164,             0.00072164,             0.00072164
                     27,                0.28243,                 0.7593,                 0.8496,                0.62154,                0.78452,                0.77754,                0.76988,                0.10866,                0.60282,                0.75223,             0.00069335,             0.00069335,             0.00069335
                     28,                0.28287,                0.74509,                0.85276,                0.62727,                0.75631,                0.76543,                0.75586,                0.10372,                0.59912,                0.75148,             0.00066506,             0.00066506,             0.00066506
                     29,                0.27474,                0.73881,                0.84425,                0.67979,                0.73923,                0.79063,                0.78231,                0.10373,                0.56462,                0.75057,             0.00063676,             0.00063676,             0.00063676
                     30,                0.27746,                0.72471,                0.84732,                0.71312,                0.77175,                0.81883,                 0.8113,                0.10651,                0.52768,                0.75012,             0.00060847,             0.00060847,             0.00060847
                     31,                0.27272,                0.70768,                0.84638,                0.74615,                0.71933,                 0.8128,                0.80383,                0.10791,                0.54443,                0.75208,             0.00058017,             0.00058017,             0.00058017
                     32,                0.27151,                0.69012,                 0.8504,                0.79253,                0.71643,                0.82944,                0.82027,                0.10001,                0.52782,                0.75096,             0.00055188,             0.00055188,             0.00055188
