                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49032,                 1.9719,                0.84911,                 0.3323,                0.96736,                0.35777,                0.35013,                0.22422,                 1.1973,                0.77574,              0.0033315,              0.0033315,              0.0033315
                      2,                0.42571,                  1.294,                0.84672,                0.33315,                0.97537,                0.36754,                0.36383,                0.19857,                 1.0614,                0.77587,              0.0065329,              0.0065329,              0.0065329
                      3,                0.43411,                 1.1484,                 0.8473,                0.33421,                0.97509,                0.37649,                0.37021,                0.20808,                 1.0338,                0.77876,              0.0096023,              0.0096023,              0.0096023
                      4,                0.40117,                 1.0911,                0.84231,                0.33338,                0.97664,                0.37611,                 0.3725,                0.17412,                 1.0097,                0.76861,               0.009406,               0.009406,               0.009406
                      5,                0.35248,                 1.0562,                 0.8324,                0.33407,                0.97596,                0.37178,                0.36849,                0.16107,                0.99589,                0.76356,               0.009208,               0.009208,               0.009208
                      6,                0.32793,                 1.0425,                 0.8299,                0.33431,                0.97683,                0.36684,                0.36288,                0.13936,                0.99244,                0.76197,                0.00901,                0.00901,                0.00901
                      7,                0.30605,                 1.0283,                0.82554,                0.33388,                0.97729,                0.40353,                0.40119,                0.12458,                0.97562,                0.76078,               0.008812,               0.008812,               0.008812
                      8,                0.29298,                 1.0175,                0.82308,                0.33477,                0.97874,                0.40522,                0.40296,                 0.1193,                0.96932,                0.75967,               0.008614,               0.008614,               0.008614
                      9,                0.28541,                  1.014,                0.82201,                0.33487,                0.97512,                0.44518,                0.44339,                0.11472,                0.97417,                0.75868,               0.008416,               0.008416,               0.008416
                     10,                0.27473,                 1.0072,                0.81941,                0.33421,                0.97775,                0.43862,                 0.4356,                 0.1131,                0.94637,                 0.7592,               0.008218,               0.008218,               0.008218
                     11,                0.26892,                0.99816,                0.81977,                0.33524,                0.97698,                0.45907,                0.45629,                0.10586,                0.94045,                  0.758,                0.00802,                0.00802,                0.00802
                     12,                0.26697,                0.99164,                0.82063,                0.33566,                 0.9763,                0.45237,                0.44953,                0.10142,                 0.9472,                 0.7573,               0.007822,               0.007822,               0.007822
                     13,                0.25783,                0.98534,                0.81884,                0.35289,                0.95227,                0.49094,                0.48857,                0.10229,                0.92797,                0.75576,               0.007624,               0.007624,               0.007624
                     14,                 0.2525,                0.98069,                0.81675,                 0.3467,                0.94015,                0.49415,                0.49048,                 0.0954,                0.91978,                0.75507,               0.007426,               0.007426,               0.007426
                     15,                0.24955,                0.97123,                0.81648,                0.34678,                0.96826,                0.50235,                0.50071,                0.08947,                0.91048,                0.75447,               0.007228,               0.007228,               0.007228
                     16,                0.24829,                0.97115,                0.81674,                0.34235,                0.97515,                 0.4939,                0.49184,                0.08617,                0.89289,                0.75482,                0.00703,                0.00703,                0.00703
                     17,                0.24117,                0.96178,                0.81576,                0.34674,                0.95503,                0.49975,                0.49704,                0.08741,                0.91792,                0.75469,               0.006832,               0.006832,               0.006832
                     18,                0.23681,                0.95325,                0.81342,                0.35768,                0.93991,                0.51027,                0.50774,                0.08789,                0.90272,                0.75438,               0.006634,               0.006634,               0.006634
                     19,                0.23756,                0.95292,                0.81522,                0.36645,                0.90827,                0.52013,                0.51825,                0.07844,                0.87528,                0.75425,               0.006436,               0.006436,               0.006436
                     20,                0.23219,                0.94383,                0.81297,                0.36223,                0.91811,                0.52292,                0.51981,                0.08175,                0.87825,                 0.7551,               0.006238,               0.006238,               0.006238
                     21,                0.23149,                 0.9405,                0.81411,                 0.3567,                0.93286,                0.53155,                0.52908,                0.07835,                0.86417,                0.75486,                0.00604,                0.00604,                0.00604
