                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60677,                 1.8058,                0.90751,                0.38949,                0.74542,                 0.4584,                0.42689,                0.33443,                  1.136,                0.78349,             0.00047584,             0.00047584,             0.00047584
                      2,                0.50313,                 1.2128,                0.89408,                0.40185,                0.74594,                 0.4794,                0.45604,                0.28663,                 1.0349,                0.77962,             0.00093332,             0.00093332,             0.00093332
                      3,                0.47552,                 1.1179,                0.88996,                0.36739,                0.84386,                0.47036,                0.45256,                0.25716,                   1.08,                0.77691,              0.0013719,              0.0013719,              0.0013719
                      4,                0.44236,                  1.066,                0.88099,                0.43281,                0.71722,                 0.5011,                0.48012,                 0.2615,                0.98289,                0.77028,              0.0013441,              0.0013441,              0.0013441
                      5,                0.41075,                  1.042,                0.87344,                0.39047,                0.75921,                0.49733,                0.47875,                 0.2397,                 1.1099,                0.76733,              0.0013158,              0.0013158,              0.0013158
                      6,                0.39389,                 1.0109,                0.86939,                 0.4355,                0.75692,                0.49849,                0.48231,                0.22879,                0.93779,                0.76618,              0.0012875,              0.0012875,              0.0012875
                      7,                0.39451,                 1.0099,                 0.8731,                0.45502,                0.68473,                0.53815,                0.52554,                0.21125,                0.92026,                0.76519,              0.0012592,              0.0012592,              0.0012592
                      8,                0.36736,                0.97245,                0.86518,                 0.4346,                0.73512,                0.53813,                0.52515,                0.18844,                0.92433,                0.75893,              0.0012309,              0.0012309,              0.0012309
                      9,                0.36159,                0.96765,                0.86078,                  0.455,                0.71549,                0.54438,                0.53162,                0.18693,                0.88435,                0.75978,              0.0012026,              0.0012026,              0.0012026
                     10,                 0.3596,                0.96641,                0.86393,                0.44946,                0.73786,                0.55389,                0.54068,                0.19254,                 0.9255,                0.75912,              0.0011744,              0.0011744,              0.0011744
                     11,                0.34298,                0.95171,                0.85942,                0.45607,                0.74101,                 0.5761,                0.56401,                0.16951,                0.89298,                0.75712,              0.0011461,              0.0011461,              0.0011461
                     12,                 0.3372,                 0.9261,                0.85678,                0.43858,                0.73888,                0.58597,                0.57246,                 0.1891,                 1.0011,                 0.7601,              0.0011178,              0.0011178,              0.0011178
                     13,                0.33149,                0.92393,                0.85487,                0.45186,                0.74914,                0.57528,                0.56277,                 0.1654,                0.93501,                0.75422,              0.0010895,              0.0010895,              0.0010895
                     14,                0.32307,                 0.9032,                0.85599,                0.46065,                0.80768,                0.60523,                 0.5947,                0.14799,                0.80704,                0.75495,              0.0010612,              0.0010612,              0.0010612
                     15,                0.32761,                0.89786,                0.85573,                0.48492,                0.72402,                0.60662,                0.59524,                0.15117,                0.86651,                0.75337,              0.0010329,              0.0010329,              0.0010329
                     16,                0.31003,                0.87847,                0.84719,                0.48282,                0.74634,                0.61816,                0.60725,                0.15265,                0.84441,                0.75345,              0.0010046,              0.0010046,              0.0010046
                     17,                0.31118,                 0.8786,                0.85113,                 0.5191,                 0.7393,                0.63133,                 0.6193,                0.14369,                 0.7689,                0.75425,             0.00097629,             0.00097629,             0.00097629
                     18,                0.30704,                0.85478,                0.85366,                0.50033,                0.68689,                0.63213,                0.62163,                0.14481,                0.83793,                0.75284,               0.000948,               0.000948,               0.000948
                     19,                0.30312,                0.85872,                0.85065,                0.55354,                0.70944,                0.66399,                0.65136,                0.15428,                0.77625,                0.75493,              0.0009197,              0.0009197,              0.0009197
                     20,                0.30459,                0.84282,                0.85036,                0.57165,                0.73689,                0.67304,                0.66141,                0.14296,                0.72259,                0.75403,             0.00089141,             0.00089141,             0.00089141
                     21,                0.30163,                0.82821,                0.85255,                0.56787,                0.75637,                 0.6882,                0.67708,                0.14007,                0.68713,                0.75323,             0.00086312,             0.00086312,             0.00086312
                     22,                0.29417,                0.80865,                 0.8473,                0.55815,                0.73296,                0.68125,                0.67121,                0.13278,                0.73107,                0.75347,             0.00083482,             0.00083482,             0.00083482
                     23,                0.28665,                0.80005,                0.84754,                0.57988,                0.73705,                0.68339,                0.67393,                0.13124,                0.70666,                0.75094,             0.00080653,             0.00080653,             0.00080653
                     24,                0.29359,                  0.798,                0.85127,                0.64215,                0.68903,                0.72132,                0.71094,                0.12694,                0.66314,                0.75159,             0.00077823,             0.00077823,             0.00077823
                     25,                 0.2923,                0.78704,                0.84965,                0.62583,                0.70571,                0.71884,                0.70907,                0.12502,                0.66603,                0.75078,             0.00074994,             0.00074994,             0.00074994
                     26,                0.28701,                0.75939,                0.85069,                 0.6047,                0.72537,                0.73099,                0.72049,                 0.1307,                0.67493,                 0.7516,             0.00072164,             0.00072164,             0.00072164
                     27,                0.28208,                  0.746,                0.84474,                0.60453,                 0.7437,                0.74017,                0.73049,                 0.1209,                0.67901,                0.75027,             0.00069335,             0.00069335,             0.00069335
                     28,                0.28043,                0.73331,                0.84895,                0.60305,                0.71848,                0.72215,                0.71193,                0.12936,                0.75639,                0.75036,             0.00066506,             0.00066506,             0.00066506
