                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5379,                 1.6563,                0.89577,                0.32492,                0.86374,                0.33902,                0.32508,                0.23821,                 1.0734,                0.77559,              0.0033325,              0.0033325,              0.0033325
                      2,                0.48181,                 1.1998,                 0.8834,                 0.3288,                0.96981,                 0.3571,                0.34616,                0.22368,                 0.9933,                0.77368,              0.0065338,              0.0065338,              0.0065338
                      3,                 0.4913,                  1.116,                0.88748,                0.32558,                 0.9588,                 0.3726,                0.36254,                0.22884,                0.96801,                0.77579,              0.0096032,              0.0096032,              0.0096032
                      4,                0.46569,                 1.0848,                0.88932,                 0.3296,                0.95987,                0.39281,                0.38584,                0.19268,                0.93618,                0.77073,               0.009406,               0.009406,               0.009406
                      5,                0.41982,                 1.0512,                0.88082,                0.33048,                0.95785,                0.41672,                0.40994,                0.17174,                0.91053,                0.76697,               0.009208,               0.009208,               0.009208
                      6,                0.39669,                 1.0332,                 0.8786,                0.32964,                 0.9731,                0.41323,                 0.4073,                0.15413,                0.90797,                0.76496,                0.00901,                0.00901,                0.00901
                      7,                0.38204,                 1.0215,                0.87525,                 0.3313,                0.96875,                0.44131,                0.43557,                 0.1508,                0.88649,                0.76287,               0.008812,               0.008812,               0.008812
                      8,                0.37009,                  1.012,                0.87333,                0.33356,                0.95581,                 0.4481,                0.44161,                0.14302,                0.87627,                0.76165,               0.008614,               0.008614,               0.008614
                      9,                0.35947,                 1.0015,                0.87087,                0.33227,                0.96552,                0.45874,                0.45244,                0.14706,                0.86636,                0.76198,               0.008416,               0.008416,               0.008416
                     10,                0.35288,                0.99171,                0.86992,                0.33915,                0.91658,                0.46812,                0.46211,                0.14079,                 0.8573,                0.76065,               0.008218,               0.008218,               0.008218
                     11,                0.34271,                0.97978,                0.86704,                0.33382,                0.96052,                0.47684,                0.47098,                0.13413,                0.84593,                0.75967,                0.00802,                0.00802,                0.00802
                     12,                0.33813,                0.97927,                0.86683,                 0.3369,                0.95288,                0.48298,                0.47716,                0.13103,                0.84119,                0.75873,               0.007822,               0.007822,               0.007822
                     13,                0.33335,                0.97157,                0.86559,                0.33528,                 0.9659,                0.49327,                 0.4877,                0.12928,                0.83291,                0.75816,               0.007624,               0.007624,               0.007624
                     14,                0.32932,                0.95781,                0.86461,                0.34365,                0.94646,                0.51352,                0.50725,                0.12847,                 0.8112,                0.75791,               0.007426,               0.007426,               0.007426
                     15,                0.32585,                0.94845,                0.86381,                0.34491,                0.93688,                0.51933,                0.51367,                0.12958,                0.80591,                0.75805,               0.007228,               0.007228,               0.007228
                     16,                0.32392,                0.93926,                 0.8644,                0.34553,                0.94413,                 0.5266,                0.52095,                 0.1302,                0.79765,                0.75755,                0.00703,                0.00703,                0.00703
                     17,                0.31931,                0.92879,                0.86317,                0.34738,                0.95022,                0.54054,                0.53489,                0.12319,                0.78519,                0.75704,               0.006832,               0.006832,               0.006832
                     18,                0.31611,                0.91859,                0.86231,                0.35813,                0.93058,                0.55429,                0.54855,                0.12308,                0.76993,                0.75607,               0.006634,               0.006634,               0.006634
                     19,                0.31222,                0.91619,                0.86133,                0.36343,                0.93362,                0.55935,                0.55362,                 0.1217,                0.75812,                0.75587,               0.006436,               0.006436,               0.006436
                     20,                0.30939,                0.90905,                0.85844,                0.36436,                0.94069,                0.56858,                0.56269,                0.12391,                0.74709,                0.75667,               0.006238,               0.006238,               0.006238
                     21,                0.30615,                0.89629,                0.85817,                0.37031,                0.92914,                0.57911,                0.57337,                0.12184,                0.73603,                0.75627,                0.00604,                0.00604,                0.00604
                     22,                0.30391,                0.88591,                0.85913,                0.38111,                0.93386,                0.58759,                0.58189,                0.11976,                0.72579,                0.75601,               0.005842,               0.005842,               0.005842
                     23,                0.30283,                0.87318,                0.85861,                0.39343,                0.92707,                0.59323,                0.58762,                0.12124,                0.72024,                0.75563,               0.005644,               0.005644,               0.005644
                     24,                0.29821,                 0.8671,                0.85684,                0.40045,                0.92796,                0.60034,                0.59448,                0.12015,                0.71365,                0.75566,               0.005446,               0.005446,               0.005446
                     25,                0.29397,                 0.8558,                0.85361,                0.40946,                0.91014,                0.60713,                0.60126,                0.11988,                0.70385,                0.75536,               0.005248,               0.005248,               0.005248
                     26,                0.29547,                0.84931,                0.85722,                0.41838,                0.90158,                0.61198,                  0.606,                0.12018,                0.69779,                0.75528,                0.00505,                0.00505,                0.00505
                     27,                0.29187,                 0.8345,                0.85494,                0.42557,                0.88979,                0.61782,                0.61189,                 0.1194,                0.69094,                0.75508,               0.004852,               0.004852,               0.004852
                     28,                0.28938,                0.82552,                0.85324,                0.42911,                0.88527,                 0.6238,                0.61782,                0.11876,                  0.684,                0.75475,               0.004654,               0.004654,               0.004654
